"","Year","Stratum","Route"
"1",2005,"US-CT-30","18-116"
"2",2011,"US-CT-30","18-116"
"3",2012,"US-CT-30","18-116"
"4",2002,"US-CT-30","18-12"
"5",2003,"US-CT-30","18-12"
"6",2004,"US-CT-30","18-12"
"7",2005,"US-CT-30","18-12"
"8",2006,"US-CT-30","18-12"
"9",2007,"US-CT-30","18-12"
"10",2008,"US-CT-30","18-12"
"11",2009,"US-CT-30","18-12"
"12",2010,"US-CT-30","18-9"
"13",2011,"US-CT-30","18-9"
"14",2012,"US-CT-30","18-9"
"15",2002,"US-CT-30","18-9"
"16",2003,"US-CT-30","18-9"
"17",2004,"US-CT-30","18-9"
"18",2005,"US-CT-30","18-9"
"19",2006,"US-CT-30","18-9"
"20",2007,"US-CT-30","18-9"
"21",2008,"US-CT-30","18-9"
"22",2009,"US-CT-30","18-9"
"23",2009,"CA-AB-6","4-153"
"24",2010,"CA-AB-6","4-153"
"25",2012,"CA-AB-6","4-153"
"26",2002,"CA-AB-6","4-251"
"27",2003,"CA-AB-6","4-251"
"28",2004,"CA-AB-6","4-251"
"29",2006,"CA-AB-6","4-251"
"30",2007,"CA-AB-6","4-251"
"31",2008,"CA-AB-6","4-251"
"32",2009,"CA-AB-6","4-251"
"33",2010,"CA-AB-6","4-251"
"34",2011,"CA-AB-6","4-251"
"35",2012,"CA-AB-6","4-251"
"36",2004,"CA-AB-6","4-338"
"37",2005,"CA-AB-6","4-338"
"38",2007,"CA-AB-6","4-338"
"39",2008,"CA-AB-6","4-338"
"40",2009,"CA-AB-6","4-338"
"41",2010,"CA-AB-6","4-338"
"42",2007,"CA-AB-6","4-42"
"43",2008,"CA-AB-6","4-42"
"44",2010,"CA-AB-6","4-42"
"45",2011,"CA-AB-6","4-42"
"46",2002,"CA-AB-6","4-43"
"47",2003,"CA-AB-6","4-43"
"48",2009,"CA-AB-6","4-43"
"49",2010,"CA-AB-6","4-43"
"50",2012,"CA-AB-6","4-43"
"51",2004,"CA-AB-6","4-438"
"52",2005,"CA-AB-6","4-438"
"53",2006,"CA-AB-6","4-438"
"54",2008,"CA-AB-6","4-438"
"55",2009,"CA-AB-6","4-438"
"56",2010,"CA-AB-6","4-438"
"57",2011,"CA-AB-6","4-438"
"58",2004,"CA-AB-6","4-44"
"59",2005,"CA-AB-6","4-44"
"60",2008,"CA-AB-6","4-44"
"61",2010,"CA-AB-6","4-44"
"62",2011,"CA-AB-6","4-44"
"63",2012,"CA-AB-6","4-44"
"64",2002,"CA-AB-6","4-49"
"65",2003,"CA-AB-6","4-49"
"66",2004,"CA-AB-6","4-49"
"67",2005,"CA-AB-6","4-49"
"68",2006,"CA-AB-6","4-49"
"69",2007,"CA-AB-6","4-49"
"70",2008,"CA-AB-6","4-49"
"71",2009,"CA-AB-6","4-49"
"72",2010,"CA-AB-6","4-49"
"73",2011,"CA-AB-6","4-49"
"74",2012,"CA-AB-6","4-49"
"75",2002,"CA-AB-6","4-50"
"76",2003,"CA-AB-6","4-50"
"77",2004,"CA-AB-6","4-50"
"78",2006,"CA-AB-6","4-50"
"79",2007,"CA-AB-6","4-50"
"80",2008,"CA-AB-6","4-50"
"81",2009,"CA-AB-6","4-50"
"82",2010,"CA-AB-6","4-50"
"83",2011,"CA-AB-6","4-50"
"84",2012,"CA-AB-6","4-50"
"85",2002,"US-ME-14","44-10"
"86",2003,"US-ME-14","44-10"
"87",2004,"US-ME-14","44-10"
"88",2005,"US-ME-14","44-10"
"89",2006,"US-ME-14","44-10"
"90",2007,"US-ME-14","44-10"
"91",2009,"US-ME-14","44-10"
"92",2010,"US-ME-14","44-10"
"93",2011,"US-ME-14","44-10"
"94",2002,"US-ME-14","44-115"
"95",2005,"US-ME-14","44-115"
"96",2006,"US-ME-14","44-115"
"97",2007,"US-ME-14","44-115"
"98",2008,"US-ME-14","44-115"
"99",2009,"US-ME-14","44-115"
"100",2010,"US-ME-14","44-115"
"101",2011,"US-ME-14","44-115"
"102",2002,"US-ME-14","44-117"
"103",2003,"US-ME-14","44-117"
"104",2004,"US-ME-14","44-117"
"105",2005,"US-ME-14","44-117"
"106",2006,"US-ME-14","44-117"
"107",2007,"US-ME-14","44-117"
"108",2008,"US-ME-14","44-117"
"109",2009,"US-ME-14","44-117"
"110",2010,"US-ME-14","44-117"
"111",2002,"US-ME-14","44-12"
"112",2003,"US-ME-14","44-12"
"113",2004,"US-ME-14","44-12"
"114",2005,"US-ME-14","44-12"
"115",2006,"US-ME-14","44-12"
"116",2007,"US-ME-14","44-12"
"117",2008,"US-ME-14","44-12"
"118",2009,"US-ME-14","44-12"
"119",2010,"US-ME-14","44-12"
"120",2011,"US-ME-14","44-12"
"121",2012,"US-ME-14","44-12"
"122",2002,"US-ME-14","44-13"
"123",2003,"US-ME-14","44-13"
"124",2004,"US-ME-14","44-13"
"125",2005,"US-ME-14","44-13"
"126",2006,"US-ME-14","44-13"
"127",2007,"US-ME-14","44-13"
"128",2008,"US-ME-14","44-13"
"129",2009,"US-ME-14","44-13"
"130",2010,"US-ME-14","44-13"
"131",2011,"US-ME-14","44-13"
"132",2012,"US-ME-14","44-13"
"133",2010,"US-ME-14","44-146"
"134",2011,"US-ME-14","44-146"
"135",2002,"US-ME-14","44-147"
"136",2003,"US-ME-14","44-147"
"137",2010,"US-ME-14","44-159"
"138",2011,"US-ME-14","44-159"
"139",2005,"US-ME-14","44-16"
"140",2006,"US-ME-14","44-16"
"141",2007,"US-ME-14","44-16"
"142",2008,"US-ME-14","44-16"
"143",2002,"US-ME-14","44-19"
"144",2003,"US-ME-14","44-19"
"145",2004,"US-ME-14","44-19"
"146",2005,"US-ME-14","44-19"
"147",2006,"US-ME-14","44-19"
"148",2007,"US-ME-14","44-19"
"149",2008,"US-ME-14","44-19"
"150",2009,"US-ME-14","44-19"
"151",2010,"US-ME-14","44-19"
"152",2011,"US-ME-14","44-19"
"153",2012,"US-ME-14","44-19"
"154",2005,"US-ME-14","44-21"
"155",2006,"US-ME-14","44-21"
"156",2007,"US-ME-14","44-21"
"157",2008,"US-ME-14","44-21"
"158",2009,"US-ME-14","44-21"
"159",2010,"US-ME-14","44-21"
"160",2011,"US-ME-14","44-21"
"161",2006,"US-ME-14","44-22"
"162",2007,"US-ME-14","44-22"
"163",2008,"US-ME-14","44-22"
"164",2009,"US-ME-14","44-22"
"165",2010,"US-ME-14","44-22"
"166",2011,"US-ME-14","44-22"
"167",2002,"US-ME-14","44-25"
"168",2004,"US-ME-14","44-25"
"169",2005,"US-ME-14","44-25"
"170",2006,"US-ME-14","44-25"
"171",2008,"US-ME-14","44-26"
"172",2009,"US-ME-14","44-26"
"173",2010,"US-ME-14","44-26"
"174",2011,"US-ME-14","44-26"
"175",2012,"US-ME-14","44-26"
"176",2002,"US-ME-14","44-26"
"177",2003,"US-ME-14","44-26"
"178",2004,"US-ME-14","44-26"
"179",2005,"US-ME-14","44-26"
"180",2006,"US-ME-14","44-26"
"181",2007,"US-ME-14","44-26"
"182",2003,"US-ME-14","44-27"
"183",2004,"US-ME-14","44-27"
"184",2005,"US-ME-14","44-27"
"185",2006,"US-ME-14","44-27"
"186",2007,"US-ME-14","44-27"
"187",2010,"US-ME-14","44-27"
"188",2002,"US-ME-14","44-3"
"189",2003,"US-ME-14","44-3"
"190",2004,"US-ME-14","44-3"
"191",2005,"US-ME-14","44-3"
"192",2006,"US-ME-14","44-3"
"193",2007,"US-ME-14","44-3"
"194",2008,"US-ME-14","44-3"
"195",2009,"US-ME-14","44-3"
"196",2011,"US-ME-14","44-3"
"197",2008,"US-ME-14","44-304"
"198",2009,"US-ME-14","44-304"
"199",2010,"US-ME-14","44-304"
"200",2011,"US-ME-14","44-304"
"201",2012,"US-ME-14","44-304"
"202",2010,"US-ME-14","44-306"
"203",2002,"US-ME-14","44-31"
"204",2003,"US-ME-14","44-31"
"205",2004,"US-ME-14","44-31"
"206",2005,"US-ME-14","44-31"
"207",2006,"US-ME-14","44-31"
"208",2007,"US-ME-14","44-31"
"209",2008,"US-ME-14","44-31"
"210",2009,"US-ME-14","44-31"
"211",2010,"US-ME-14","44-31"
"212",2011,"US-ME-14","44-31"
"213",2012,"US-ME-14","44-31"
"214",2002,"US-ME-14","44-32"
"215",2003,"US-ME-14","44-32"
"216",2004,"US-ME-14","44-32"
"217",2005,"US-ME-14","44-32"
"218",2006,"US-ME-14","44-32"
"219",2007,"US-ME-14","44-32"
"220",2008,"US-ME-14","44-32"
"221",2009,"US-ME-14","44-32"
"222",2010,"US-ME-14","44-32"
"223",2011,"US-ME-14","44-32"
"224",2012,"US-ME-14","44-32"
"225",2002,"US-ME-14","44-33"
"226",2003,"US-ME-14","44-33"
"227",2004,"US-ME-14","44-33"
"228",2005,"US-ME-14","44-33"
"229",2006,"US-ME-14","44-33"
"230",2007,"US-ME-14","44-33"
"231",2008,"US-ME-14","44-33"
"232",2009,"US-ME-14","44-33"
"233",2010,"US-ME-14","44-33"
"234",2011,"US-ME-14","44-33"
"235",2002,"US-ME-14","44-35"
"236",2003,"US-ME-14","44-35"
"237",2004,"US-ME-14","44-35"
"238",2005,"US-ME-14","44-35"
"239",2006,"US-ME-14","44-35"
"240",2007,"US-ME-14","44-35"
"241",2008,"US-ME-14","44-35"
"242",2009,"US-ME-14","44-35"
"243",2010,"US-ME-14","44-35"
"244",2011,"US-ME-14","44-35"
"245",2012,"US-ME-14","44-35"
"246",2010,"US-ME-14","44-37"
"247",2012,"US-ME-14","44-37"
"248",2002,"US-ME-14","44-37"
"249",2004,"US-ME-14","44-37"
"250",2005,"US-ME-14","44-37"
"251",2006,"US-ME-14","44-37"
"252",2008,"US-ME-14","44-37"
"253",2002,"US-ME-14","44-41"
"254",2003,"US-ME-14","44-41"
"255",2004,"US-ME-14","44-41"
"256",2005,"US-ME-14","44-41"
"257",2006,"US-ME-14","44-41"
"258",2007,"US-ME-14","44-41"
"259",2008,"US-ME-14","44-41"
"260",2009,"US-ME-14","44-41"
"261",2010,"US-ME-14","44-41"
"262",2011,"US-ME-14","44-41"
"263",2009,"US-ME-14","44-42"
"264",2004,"US-ME-14","44-49"
"265",2005,"US-ME-14","44-49"
"266",2002,"US-ME-14","44-5"
"267",2003,"US-ME-14","44-5"
"268",2004,"US-ME-14","44-5"
"269",2005,"US-ME-14","44-5"
"270",2006,"US-ME-14","44-5"
"271",2007,"US-ME-14","44-5"
"272",2008,"US-ME-14","44-5"
"273",2010,"US-ME-14","44-5"
"274",2002,"US-ME-14","44-50"
"275",2003,"US-ME-14","44-50"
"276",2004,"US-ME-14","44-50"
"277",2005,"US-ME-14","44-50"
"278",2006,"US-ME-14","44-50"
"279",2007,"US-ME-14","44-50"
"280",2008,"US-ME-14","44-50"
"281",2009,"US-ME-14","44-50"
"282",2010,"US-ME-14","44-50"
"283",2011,"US-ME-14","44-50"
"284",2002,"US-ME-14","44-51"
"285",2003,"US-ME-14","44-51"
"286",2004,"US-ME-14","44-51"
"287",2005,"US-ME-14","44-51"
"288",2006,"US-ME-14","44-51"
"289",2008,"US-ME-14","44-51"
"290",2008,"US-ME-14","44-52"
"291",2009,"US-ME-14","44-52"
"292",2011,"US-ME-14","44-52"
"293",2004,"US-ME-14","44-52"
"294",2005,"US-ME-14","44-52"
"295",2004,"US-ME-14","44-53"
"296",2005,"US-ME-14","44-53"
"297",2004,"US-ME-14","44-54"
"298",2005,"US-ME-14","44-54"
"299",2002,"US-ME-14","44-55"
"300",2005,"US-ME-14","44-55"
"301",2006,"US-ME-14","44-55"
"302",2007,"US-ME-14","44-55"
"303",2008,"US-ME-14","44-55"
"304",2011,"US-ME-14","44-56"
"305",2002,"US-ME-14","44-56"
"306",2003,"US-ME-14","44-56"
"307",2004,"US-ME-14","44-56"
"308",2005,"US-ME-14","44-56"
"309",2006,"US-ME-14","44-56"
"310",2007,"US-ME-14","44-56"
"311",2008,"US-ME-14","44-56"
"312",2004,"US-ME-14","44-57"
"313",2006,"US-ME-14","44-57"
"314",2008,"US-ME-14","44-59"
"315",2009,"US-ME-14","44-59"
"316",2004,"US-ME-14","44-59"
"317",2005,"US-ME-14","44-59"
"318",2002,"US-ME-14","44-6"
"319",2003,"US-ME-14","44-6"
"320",2004,"US-ME-14","44-6"
"321",2005,"US-ME-14","44-6"
"322",2006,"US-ME-14","44-6"
"323",2007,"US-ME-14","44-6"
"324",2008,"US-ME-14","44-6"
"325",2009,"US-ME-14","44-6"
"326",2010,"US-ME-14","44-6"
"327",2011,"US-ME-14","44-6"
"328",2012,"US-ME-14","44-6"
"329",2002,"US-ME-14","44-60"
"330",2003,"US-ME-14","44-60"
"331",2004,"US-ME-14","44-60"
"332",2006,"US-ME-14","44-60"
"333",2008,"US-ME-14","44-60"
"334",2009,"US-ME-14","44-60"
"335",2002,"US-ME-14","44-7"
"336",2003,"US-ME-14","44-7"
"337",2004,"US-ME-14","44-7"
"338",2005,"US-ME-14","44-7"
"339",2006,"US-ME-14","44-7"
"340",2007,"US-ME-14","44-7"
"341",2008,"US-ME-14","44-7"
"342",2009,"US-ME-14","44-7"
"343",2010,"US-ME-14","44-7"
"344",2012,"US-ME-14","44-7"
"345",2010,"US-ME-14","44-8"
"346",2002,"US-ME-14","44-8"
"347",2002,"CA-MB-8","45-112"
"348",2003,"CA-MB-8","45-112"
"349",2005,"CA-MB-8","45-112"
"350",2006,"CA-MB-8","45-112"
"351",2007,"CA-MB-8","45-112"
"352",2008,"CA-MB-8","45-112"
"353",2009,"CA-MB-8","45-112"
"354",2010,"CA-MB-8","45-112"
"355",2002,"CA-MB-8","45-12"
"356",2003,"CA-MB-8","45-12"
"357",2005,"CA-MB-8","45-12"
"358",2006,"CA-MB-8","45-12"
"359",2007,"CA-MB-8","45-12"
"360",2008,"CA-MB-8","45-12"
"361",2009,"CA-MB-8","45-12"
"362",2010,"CA-MB-8","45-12"
"363",2011,"CA-MB-8","45-12"
"364",2012,"CA-MB-8","45-12"
"365",2002,"CA-MB-6","45-120"
"366",2003,"CA-MB-6","45-120"
"367",2004,"CA-MB-6","45-120"
"368",2006,"CA-MB-6","45-120"
"369",2007,"CA-MB-6","45-120"
"370",2008,"CA-MB-6","45-120"
"371",2009,"CA-MB-6","45-120"
"372",2010,"CA-MB-6","45-120"
"373",2011,"CA-MB-6","45-120"
"374",2012,"CA-MB-6","45-120"
"375",2011,"CA-MB-6","45-141"
"376",2006,"CA-MB-8","45-40"
"377",2008,"CA-MB-8","45-40"
"378",2002,"CA-MB-8","45-40"
"379",2002,"CA-MB-6","45-41"
"380",2003,"CA-MB-6","45-41"
"381",2005,"CA-MB-6","45-41"
"382",2007,"CA-MB-6","45-41"
"383",2008,"CA-MB-6","45-41"
"384",2009,"CA-MB-6","45-41"
"385",2010,"CA-MB-6","45-41"
"386",2011,"CA-MB-6","45-41"
"387",2012,"CA-MB-6","45-41"
"388",2002,"CA-MB-6","45-48"
"389",2006,"CA-MB-6","45-48"
"390",2008,"CA-MB-6","45-48"
"391",2009,"CA-MB-6","45-48"
"392",2010,"CA-MB-6","45-48"
"393",2002,"CA-MB-6","45-49"
"394",2003,"CA-MB-6","45-49"
"395",2004,"CA-MB-6","45-49"
"396",2005,"CA-MB-6","45-49"
"397",2006,"CA-MB-6","45-49"
"398",2007,"CA-MB-6","45-49"
"399",2009,"CA-MB-6","45-49"
"400",2010,"CA-MB-6","45-49"
"401",2011,"CA-MB-6","45-49"
"402",2012,"CA-MB-6","45-49"
"403",2002,"CA-MB-6","45-55"
"404",2003,"CA-MB-6","45-55"
"405",2011,"CA-MB-6","45-55"
"406",2003,"US-MD-28","46-1"
"407",2004,"US-MD-28","46-1"
"408",2005,"US-MD-28","46-1"
"409",2006,"US-MD-28","46-1"
"410",2007,"US-MD-28","46-1"
"411",2008,"US-MD-28","46-1"
"412",2009,"US-MD-28","46-1"
"413",2010,"US-MD-28","46-1"
"414",2011,"US-MD-28","46-1"
"415",2012,"US-MD-28","46-1"
"416",2002,"US-MD-28","46-102"
"417",2003,"US-MD-28","46-102"
"418",2004,"US-MD-28","46-102"
"419",2005,"US-MD-28","46-102"
"420",2006,"US-MD-28","46-102"
"421",2007,"US-MD-28","46-102"
"422",2008,"US-MD-28","46-102"
"423",2009,"US-MD-28","46-102"
"424",2010,"US-MD-28","46-102"
"425",2011,"US-MD-28","46-102"
"427",2012,"US-MD-28","46-102"
"428",2002,"US-MD-28","46-3"
"429",2003,"US-MD-28","46-3"
"430",2004,"US-MD-28","46-3"
"431",2005,"US-MD-28","46-3"
"432",2006,"US-MD-28","46-3"
"433",2007,"US-MD-28","46-3"
"434",2008,"US-MD-28","46-3"
"435",2009,"US-MD-28","46-3"
"436",2010,"US-MD-28","46-3"
"437",2011,"US-MD-28","46-3"
"438",2012,"US-MD-28","46-3"
"439",2009,"US-MD-28","46-51"
"440",2010,"US-MD-28","46-51"
"441",2011,"US-MD-28","46-51"
"442",2012,"US-MD-28","46-51"
"443",2002,"US-MD-28","46-51"
"444",2003,"US-MD-28","46-51"
"445",2005,"US-MD-28","46-51"
"446",2006,"US-MD-28","46-51"
"447",2007,"US-MD-28","46-51"
"448",2008,"US-MD-28","46-51"
"449",2009,"US-MA-14","47-120"
"450",2010,"US-MA-14","47-120"
"451",2011,"US-MA-14","47-120"
"452",2012,"US-MA-14","47-120"
"453",2004,"US-MA-14","47-17"
"454",2005,"US-MA-14","47-17"
"455",2006,"US-MA-14","47-17"
"456",2007,"US-MA-14","47-17"
"457",2008,"US-MA-14","47-17"
"458",2009,"US-MA-14","47-17"
"459",2010,"US-MA-14","47-17"
"460",2011,"US-MA-14","47-17"
"461",2012,"US-MA-14","47-17"
"462",2002,"US-MA-14","47-17"
"463",2002,"US-MA-14","47-18"
"464",2003,"US-MA-14","47-18"
"465",2004,"US-MA-14","47-18"
"466",2005,"US-MA-14","47-18"
"467",2006,"US-MA-14","47-18"
"468",2007,"US-MA-14","47-18"
"469",2008,"US-MA-14","47-18"
"470",2009,"US-MA-14","47-18"
"471",2010,"US-MA-14","47-18"
"472",2011,"US-MA-14","47-18"
"473",2012,"US-MA-14","47-18"
"474",2002,"US-MA-14","47-19"
"475",2003,"US-MA-14","47-19"
"476",2004,"US-MA-14","47-19"
"477",2005,"US-MA-14","47-19"
"478",2006,"US-MA-14","47-19"
"479",2007,"US-MA-14","47-19"
"480",2008,"US-MA-14","47-19"
"481",2009,"US-MA-14","47-19"
"482",2010,"US-MA-14","47-19"
"483",2011,"US-MA-14","47-19"
"484",2012,"US-MA-14","47-19"
"485",2010,"US-MI-12","49-10"
"486",2011,"US-MI-12","49-10"
"487",2012,"US-MI-12","49-10"
"488",2004,"US-MI-12","49-10"
"489",2007,"US-MI-12","49-11"
"490",2008,"US-MI-12","49-11"
"491",2009,"US-MI-12","49-11"
"492",2010,"US-MI-12","49-11"
"493",2011,"US-MI-12","49-11"
"494",2012,"US-MI-12","49-11"
"495",2004,"US-MI-12","49-11"
"496",2002,"US-MI-12","49-12"
"497",2003,"US-MI-12","49-12"
"498",2004,"US-MI-12","49-12"
"499",2005,"US-MI-12","49-12"
"500",2006,"US-MI-12","49-12"
"501",2007,"US-MI-12","49-12"
"502",2008,"US-MI-12","49-12"
"503",2009,"US-MI-12","49-12"
"504",2010,"US-MI-12","49-12"
"505",2003,"US-MI-12","49-128"
"506",2004,"US-MI-12","49-128"
"507",2005,"US-MI-12","49-128"
"508",2006,"US-MI-12","49-128"
"509",2007,"US-MI-12","49-128"
"510",2008,"US-MI-12","49-128"
"511",2009,"US-MI-12","49-128"
"512",2011,"US-MI-12","49-128"
"513",2002,"US-MI-12","49-14"
"514",2003,"US-MI-12","49-14"
"515",2004,"US-MI-12","49-14"
"516",2006,"US-MI-12","49-14"
"517",2007,"US-MI-12","49-14"
"518",2008,"US-MI-12","49-14"
"519",2009,"US-MI-12","49-14"
"520",2010,"US-MI-12","49-14"
"521",2011,"US-MI-12","49-14"
"522",2012,"US-MI-12","49-14"
"523",2005,"US-MI-12","49-143"
"524",2006,"US-MI-12","49-143"
"525",2008,"US-MI-12","49-143"
"526",2009,"US-MI-12","49-143"
"527",2010,"US-MI-12","49-143"
"528",2002,"US-MI-12","49-15"
"529",2003,"US-MI-12","49-15"
"530",2004,"US-MI-12","49-15"
"531",2005,"US-MI-12","49-15"
"532",2006,"US-MI-12","49-15"
"533",2007,"US-MI-12","49-15"
"534",2008,"US-MI-12","49-15"
"535",2009,"US-MI-12","49-15"
"536",2010,"US-MI-12","49-15"
"537",2011,"US-MI-12","49-15"
"538",2012,"US-MI-12","49-15"
"539",2006,"US-MI-12","49-16"
"540",2007,"US-MI-12","49-16"
"541",2010,"US-MI-12","49-16"
"542",2004,"US-MI-12","49-16"
"543",2009,"US-MI-12","49-2"
"544",2010,"US-MI-12","49-2"
"545",2011,"US-MI-12","49-2"
"546",2012,"US-MI-12","49-2"
"547",2004,"US-MI-12","49-2"
"548",2004,"US-MI-12","49-23"
"549",2005,"US-MI-12","49-23"
"550",2006,"US-MI-12","49-23"
"551",2007,"US-MI-12","49-23"
"552",2008,"US-MI-12","49-23"
"553",2009,"US-MI-12","49-23"
"554",2010,"US-MI-12","49-23"
"555",2011,"US-MI-12","49-23"
"556",2012,"US-MI-12","49-23"
"557",2002,"US-MI-12","49-230"
"558",2003,"US-MI-12","49-230"
"559",2004,"US-MI-12","49-230"
"560",2005,"US-MI-12","49-230"
"561",2009,"US-MI-12","49-230"
"562",2010,"US-MI-12","49-230"
"563",2011,"US-MI-12","49-230"
"564",2010,"US-MI-12","49-24"
"565",2011,"US-MI-12","49-24"
"566",2002,"US-MI-12","49-24"
"567",2003,"US-MI-12","49-24"
"568",2004,"US-MI-12","49-24"
"569",2005,"US-MI-12","49-24"
"570",2006,"US-MI-12","49-24"
"571",2003,"US-MI-12","49-25"
"572",2004,"US-MI-12","49-25"
"573",2005,"US-MI-12","49-25"
"574",2006,"US-MI-12","49-25"
"575",2007,"US-MI-12","49-25"
"576",2008,"US-MI-12","49-25"
"577",2009,"US-MI-12","49-25"
"578",2010,"US-MI-12","49-25"
"579",2011,"US-MI-12","49-25"
"580",2012,"US-MI-12","49-25"
"581",2002,"US-MI-12","49-29"
"582",2004,"US-MI-12","49-29"
"583",2007,"US-MI-12","49-29"
"584",2010,"US-MI-12","49-29"
"585",2011,"US-MI-12","49-29"
"586",2012,"US-MI-12","49-4"
"587",2005,"US-MI-12","49-4"
"588",2007,"US-MI-12","49-4"
"589",2009,"US-MI-12","49-4"
"590",2002,"US-MI-12","49-4"
"591",2003,"US-MI-12","49-4"
"592",2004,"US-MI-12","49-4"
"593",2006,"US-MI-12","49-4"
"594",2006,"US-MI-12","49-40"
"595",2007,"US-MI-12","49-40"
"596",2008,"US-MI-12","49-40"
"597",2009,"US-MI-12","49-40"
"598",2010,"US-MI-12","49-40"
"599",2011,"US-MI-12","49-40"
"600",2012,"US-MI-12","49-40"
"601",2004,"US-MI-12","49-43"
"602",2011,"US-MI-12","49-47"
"603",2012,"US-MI-12","49-47"
"604",2004,"US-MI-12","49-47"
"605",2007,"US-MI-12","49-47"
"606",2008,"US-MI-12","49-5"
"607",2009,"US-MI-12","49-5"
"608",2010,"US-MI-12","49-5"
"609",2011,"US-MI-12","49-5"
"610",2012,"US-MI-12","49-5"
"611",2005,"US-MI-12","49-8"
"612",2008,"US-MI-12","49-8"
"613",2009,"US-MI-12","49-8"
"614",2011,"US-MI-12","49-8"
"615",2012,"US-MI-12","49-8"
"616",2011,"US-MN-12","50-139"
"617",2012,"US-MN-12","50-139"
"618",2005,"US-MN-12","50-139"
"619",2006,"US-MN-12","50-139"
"620",2007,"US-MN-12","50-139"
"621",2004,"US-MN-12","50-139"
"622",2011,"US-MN-12","50-140"
"623",2012,"US-MN-12","50-140"
"624",2004,"US-MN-12","50-140"
"625",2002,"US-MN-12","50-22"
"626",2004,"US-MN-12","50-22"
"627",2005,"US-MN-12","50-22"
"628",2007,"US-MN-12","50-22"
"629",2008,"US-MN-12","50-22"
"630",2009,"US-MN-12","50-22"
