"","Year","Stratum","Route"
"631",2011,"US-MN-12","50-22"
"632",2012,"US-MN-12","50-22"
"633",2007,"US-MN-12","50-24"
"634",2008,"US-MN-12","50-24"
"635",2009,"US-MN-12","50-24"
"636",2010,"US-MN-12","50-24"
"637",2011,"US-MN-12","50-24"
"638",2012,"US-MN-12","50-24"
"639",2007,"US-MN-12","50-31"
"640",2008,"US-MN-12","50-31"
"641",2009,"US-MN-12","50-31"
"642",2010,"US-MN-12","50-31"
"643",2011,"US-MN-12","50-31"
"644",2012,"US-MN-12","50-31"
"645",2003,"US-MN-12","50-31"
"646",2004,"US-MN-12","50-31"
"647",2002,"US-MN-12","50-32"
"648",2003,"US-MN-12","50-32"
"649",2004,"US-MN-12","50-32"
"650",2005,"US-MN-12","50-32"
"651",2006,"US-MN-12","50-32"
"652",2007,"US-MN-12","50-32"
"653",2008,"US-MN-12","50-32"
"654",2009,"US-MN-12","50-32"
"655",2010,"US-MN-12","50-32"
"656",2011,"US-MN-12","50-32"
"657",2012,"US-MN-12","50-32"
"658",2002,"US-MN-12","50-33"
"659",2003,"US-MN-12","50-33"
"660",2004,"US-MN-12","50-33"
"661",2005,"US-MN-12","50-33"
"662",2006,"US-MN-12","50-33"
"663",2007,"US-MN-12","50-33"
"664",2008,"US-MN-12","50-33"
"665",2009,"US-MN-12","50-33"
"666",2010,"US-MN-12","50-33"
"667",2011,"US-MN-12","50-33"
"668",2012,"US-MN-12","50-33"
"669",2002,"US-MN-12","50-34"
"670",2003,"US-MN-12","50-34"
"671",2004,"US-MN-12","50-34"
"672",2005,"US-MN-12","50-34"
"673",2006,"US-MN-12","50-34"
"674",2007,"US-MN-12","50-34"
"675",2008,"US-MN-12","50-34"
"676",2009,"US-MN-12","50-34"
"677",2010,"US-MN-12","50-34"
"678",2011,"US-MN-12","50-34"
"679",2012,"US-MN-12","50-34"
"680",2002,"US-MN-12","50-35"
"681",2003,"US-MN-12","50-35"
"682",2004,"US-MN-12","50-35"
"683",2005,"US-MN-12","50-35"
"684",2006,"US-MN-12","50-35"
"685",2007,"US-MN-12","50-35"
"686",2008,"US-MN-12","50-35"
"687",2009,"US-MN-12","50-35"
"688",2010,"US-MN-12","50-35"
"689",2011,"US-MN-12","50-35"
"690",2012,"US-MN-12","50-35"
"691",2002,"US-MN-12","50-42"
"692",2003,"US-MN-12","50-42"
"693",2004,"US-MN-12","50-42"
"694",2005,"US-MN-12","50-42"
"695",2006,"US-MN-12","50-42"
"696",2007,"US-MN-12","50-42"
"697",2008,"US-MN-12","50-42"
"698",2009,"US-MN-12","50-42"
"699",2010,"US-MN-12","50-42"
"700",2011,"US-MN-12","50-42"
"701",2012,"US-MN-12","50-42"
"702",2010,"US-MN-12","50-45"
"703",2011,"US-MN-12","50-45"
"704",2012,"US-MN-12","50-45"
"705",2003,"US-MN-12","50-45"
"706",2004,"US-MN-12","50-45"
"707",2005,"US-MN-12","50-45"
"708",2002,"US-MN-12","50-68"
"709",2003,"US-MN-12","50-68"
"710",2004,"US-MN-12","50-68"
"711",2005,"US-MN-12","50-68"
"712",2006,"US-MN-12","50-68"
"713",2007,"US-MN-12","50-68"
"714",2008,"US-MN-12","50-68"
"715",2009,"US-MN-12","50-68"
"716",2010,"US-MN-12","50-68"
"717",2011,"US-MN-12","50-68"
"718",2006,"US-MN-12","50-71"
"719",2007,"US-MN-12","50-71"
"720",2008,"US-MN-12","50-71"
"721",2009,"US-MN-12","50-71"
"722",2010,"US-MN-12","50-71"
"723",2011,"US-MN-12","50-71"
"724",2012,"US-MN-12","50-71"
"725",2003,"US-MN-12","50-71"
"726",2004,"US-MN-12","50-71"
"727",2002,"US-MN-12","50-72"
"728",2003,"US-MN-12","50-72"
"729",2004,"US-MN-12","50-72"
"730",2005,"US-MN-12","50-72"
"731",2006,"US-MN-12","50-72"
"732",2007,"US-MN-12","50-72"
"733",2008,"US-MN-12","50-72"
"734",2009,"US-MN-12","50-72"
"735",2010,"US-MN-12","50-72"
"736",2011,"US-MN-12","50-72"
"737",2012,"US-MN-12","50-72"
"738",2002,"US-MN-12","50-73"
"739",2003,"US-MN-12","50-73"
"740",2004,"US-MN-12","50-73"
"741",2005,"US-MN-12","50-73"
"742",2006,"US-MN-12","50-73"
"743",2007,"US-MN-12","50-73"
"744",2008,"US-MN-12","50-73"
"745",2009,"US-MN-12","50-73"
"746",2010,"US-MN-12","50-74"
"747",2011,"US-MN-12","50-74"
"748",2012,"US-MN-12","50-74"
"749",2003,"US-MN-12","50-74"
"750",2010,"US-MN-12","50-75"
"751",2011,"US-MN-12","50-75"
"752",2005,"US-MN-12","50-75"
"753",2004,"US-MN-12","50-75"
"754",2007,"US-MN-12","50-78"
"755",2010,"US-MN-12","50-78"
"756",2011,"US-MN-12","50-78"
"757",2012,"US-MN-12","50-78"
"758",2004,"US-MN-12","50-78"
"759",2003,"US-MN-12","50-80"
"760",2005,"US-MN-12","50-80"
"761",2006,"US-MN-12","50-80"
"762",2007,"US-MN-12","50-80"
"763",2008,"US-MN-12","50-80"
"764",2009,"US-MN-12","50-80"
"765",2010,"US-MN-12","50-80"
"766",2012,"US-MN-12","50-80"
"767",2003,"CA-NB-14","56-1"
"768",2003,"CA-NB-14","56-10"
"769",2004,"CA-NB-14","56-101"
"770",2005,"CA-NB-14","56-101"
"771",2007,"CA-NB-14","56-101"
"772",2011,"CA-NB-14","56-101"
"773",2002,"CA-NB-14","56-105"
"774",2003,"CA-NB-14","56-105"
"775",2004,"CA-NB-14","56-105"
"776",2005,"CA-NB-14","56-105"
"777",2006,"CA-NB-14","56-105"
"778",2007,"CA-NB-14","56-105"
"779",2009,"CA-NB-14","56-105"
"780",2011,"CA-NB-14","56-105"
"781",2007,"CA-NB-14","56-137"
"782",2011,"CA-NB-14","56-137"
"783",2012,"CA-NB-14","56-137"
"784",2002,"CA-NB-14","56-137"
"785",2003,"CA-NB-14","56-137"
"786",2004,"CA-NB-14","56-137"
"787",2005,"CA-NB-14","56-137"
"788",2006,"CA-NB-14","56-137"
"789",2002,"CA-NB-14","56-14"
"790",2003,"CA-NB-14","56-14"
"791",2004,"CA-NB-14","56-14"
"792",2005,"CA-NB-14","56-14"
"793",2006,"CA-NB-14","56-14"
"794",2007,"CA-NB-14","56-14"
"795",2011,"CA-NB-14","56-14"
"796",2012,"CA-NB-14","56-14"
"797",2002,"CA-NB-14","56-15"
"798",2003,"CA-NB-14","56-15"
"799",2004,"CA-NB-14","56-15"
"800",2005,"CA-NB-14","56-15"
"801",2006,"CA-NB-14","56-15"
"802",2007,"CA-NB-14","56-15"
"803",2008,"CA-NB-14","56-15"
"804",2009,"CA-NB-14","56-15"
"805",2010,"CA-NB-14","56-15"
"806",2011,"CA-NB-14","56-15"
"807",2012,"CA-NB-14","56-15"
"808",2002,"CA-NB-14","56-16"
"809",2003,"CA-NB-14","56-16"
"810",2004,"CA-NB-14","56-16"
"811",2005,"CA-NB-14","56-16"
"812",2006,"CA-NB-14","56-16"
"813",2007,"CA-NB-14","56-16"
"814",2011,"CA-NB-14","56-16"
"815",2012,"CA-NB-14","56-16"
"816",2003,"CA-NB-14","56-2"
"817",2004,"CA-NB-14","56-2"
"818",2005,"CA-NB-14","56-2"
"819",2006,"CA-NB-14","56-2"
"820",2002,"CA-NB-14","56-21"
"821",2003,"CA-NB-14","56-21"
"822",2004,"CA-NB-14","56-21"
"823",2006,"CA-NB-14","56-21"
"824",2007,"CA-NB-14","56-21"
"825",2008,"CA-NB-14","56-21"
"826",2009,"CA-NB-14","56-21"
"827",2010,"CA-NB-14","56-21"
"828",2011,"CA-NB-14","56-21"
"829",2012,"CA-NB-14","56-21"
"830",2002,"CA-NB-14","56-22"
"831",2003,"CA-NB-14","56-22"
"832",2004,"CA-NB-14","56-22"
"833",2005,"CA-NB-14","56-22"
"834",2006,"CA-NB-14","56-22"
"835",2007,"CA-NB-14","56-22"
"836",2008,"CA-NB-14","56-22"
"837",2009,"CA-NB-14","56-22"
"838",2010,"CA-NB-14","56-22"
"839",2011,"CA-NB-14","56-22"
"840",2012,"CA-NB-14","56-22"
"841",2002,"CA-NB-14","56-24"
"842",2008,"CA-NB-14","56-24"
"843",2010,"CA-NB-14","56-25"
"844",2011,"CA-NB-14","56-25"
"845",2012,"CA-NB-14","56-25"
"846",2007,"CA-NB-14","56-25"
"847",2008,"CA-NB-14","56-25"
"848",2010,"CA-NB-14","56-26"
"849",2011,"CA-NB-14","56-26"
"850",2012,"CA-NB-14","56-26"
"851",2002,"CA-NB-14","56-26"
"852",2002,"CA-NB-14","56-29"
"853",2003,"CA-NB-14","56-29"
"854",2007,"CA-NB-14","56-29"
"855",2008,"CA-NB-14","56-29"
"856",2009,"CA-NB-14","56-29"
"857",2010,"CA-NB-14","56-29"
"858",2011,"CA-NB-14","56-29"
"859",2012,"CA-NB-14","56-29"
"860",2004,"CA-NB-14","56-31"
"861",2007,"CA-NB-14","56-31"
"862",2009,"CA-NB-14","56-31"
"863",2010,"CA-NB-14","56-31"
"864",2011,"CA-NB-14","56-31"
"865",2012,"CA-NB-14","56-31"
"866",2006,"CA-NB-14","56-32"
"867",2007,"CA-NB-14","56-32"
"868",2008,"CA-NB-14","56-32"
"869",2009,"CA-NB-14","56-32"
"870",2010,"CA-NB-14","56-32"
"871",2011,"CA-NB-14","56-32"
"872",2002,"CA-NB-14","56-33"
"873",2003,"CA-NB-14","56-33"
"874",2004,"CA-NB-14","56-33"
"875",2005,"CA-NB-14","56-33"
"876",2006,"CA-NB-14","56-33"
"877",2007,"CA-NB-14","56-33"
"878",2008,"CA-NB-14","56-33"
"879",2009,"CA-NB-14","56-33"
"880",2010,"CA-NB-14","56-33"
"881",2011,"CA-NB-14","56-33"
"882",2012,"CA-NB-14","56-33"
"883",2004,"CA-NB-14","56-34"
"884",2006,"CA-NB-14","56-34"
"885",2007,"CA-NB-14","56-34"
"886",2008,"CA-NB-14","56-34"
"887",2009,"CA-NB-14","56-34"
"888",2011,"CA-NB-14","56-34"
"889",2012,"CA-NB-14","56-34"
"890",2002,"CA-NB-14","56-34"
"891",2004,"CA-NB-14","56-37"
"892",2005,"CA-NB-14","56-37"
"893",2006,"CA-NB-14","56-37"
"894",2007,"CA-NB-14","56-37"
"895",2008,"CA-NB-14","56-37"
"896",2002,"CA-NB-14","56-40"
"897",2003,"CA-NB-14","56-40"
"898",2004,"CA-NB-14","56-40"
"899",2005,"CA-NB-14","56-40"
"900",2006,"CA-NB-14","56-40"
"901",2007,"CA-NB-14","56-40"
"902",2008,"CA-NB-14","56-40"
"903",2009,"CA-NB-14","56-40"
"904",2010,"CA-NB-14","56-40"
"905",2002,"CA-NB-14","56-41"
"906",2003,"CA-NB-14","56-41"
"907",2004,"CA-NB-14","56-41"
"908",2005,"CA-NB-14","56-41"
"909",2006,"CA-NB-14","56-41"
"910",2007,"CA-NB-14","56-41"
"911",2008,"CA-NB-14","56-41"
"912",2009,"CA-NB-14","56-41"
"913",2010,"CA-NB-14","56-41"
"914",2011,"CA-NB-14","56-41"
"915",2012,"CA-NB-14","56-41"
"916",2004,"CA-NB-14","56-42"
"917",2005,"CA-NB-14","56-42"
"918",2006,"CA-NB-14","56-42"
"919",2007,"CA-NB-14","56-42"
"920",2008,"CA-NB-14","56-42"
"921",2009,"CA-NB-14","56-42"
"922",2010,"CA-NB-14","56-42"
"923",2011,"CA-NB-14","56-42"
"924",2012,"CA-NB-14","56-42"
"925",2010,"CA-NB-14","56-7"
"926",2011,"CA-NB-14","56-7"
"927",2012,"CA-NB-14","56-7"
"928",2002,"CA-NB-14","56-9"
"929",2003,"CA-NB-14","56-9"
"930",2004,"CA-NB-14","56-9"
"931",2005,"CA-NB-14","56-9"
"932",2006,"CA-NB-14","56-9"
"933",2007,"CA-NB-14","56-9"
"934",2009,"CA-NB-14","56-9"
"935",2010,"CA-NB-14","56-9"
"936",2011,"CA-NB-14","56-9"
"937",2012,"CA-NB-14","56-9"
"938",2003,"US-NH-14","58-11"
"939",2004,"US-NH-14","58-11"
"940",2005,"US-NH-14","58-11"
"941",2006,"US-NH-14","58-11"
"942",2007,"US-NH-14","58-11"
"943",2008,"US-NH-14","58-11"
"944",2009,"US-NH-14","58-11"
"945",2010,"US-NH-14","58-11"
"946",2011,"US-NH-14","58-11"
"947",2012,"US-NH-14","58-11"
"948",2002,"US-NH-14","58-116"
"949",2003,"US-NH-14","58-116"
"950",2004,"US-NH-14","58-116"
"951",2006,"US-NH-14","58-116"
"952",2007,"US-NH-14","58-116"
"953",2008,"US-NH-14","58-116"
"954",2009,"US-NH-14","58-116"
"955",2010,"US-NH-14","58-116"
"956",2011,"US-NH-14","58-116"
"957",2012,"US-NH-14","58-116"
"958",2003,"US-NH-14","58-14"
"959",2004,"US-NH-14","58-14"
"960",2005,"US-NH-14","58-14"
"961",2006,"US-NH-14","58-14"
"962",2007,"US-NH-14","58-14"
"963",2008,"US-NH-14","58-14"
"964",2009,"US-NH-14","58-14"
"965",2010,"US-NH-14","58-14"
"966",2011,"US-NH-14","58-14"
"967",2012,"US-NH-14","58-14"
"968",2002,"US-NH-14","58-14"
"969",2002,"US-NH-14","58-15"
"970",2003,"US-NH-14","58-15"
"971",2004,"US-NH-14","58-15"
"972",2005,"US-NH-14","58-15"
"973",2006,"US-NH-14","58-15"
"974",2007,"US-NH-14","58-15"
"975",2008,"US-NH-14","58-15"
"976",2009,"US-NH-14","58-15"
"977",2010,"US-NH-14","58-15"
"978",2011,"US-NH-14","58-15"
"979",2012,"US-NH-14","58-15"
"980",2010,"US-NH-14","58-17"
"981",2011,"US-NH-14","58-17"
"982",2012,"US-NH-14","58-17"
"983",2002,"US-NH-14","58-17"
"984",2003,"US-NH-14","58-17"
"985",2004,"US-NH-14","58-17"
"986",2005,"US-NH-14","58-17"
"987",2006,"US-NH-14","58-17"
"988",2007,"US-NH-14","58-17"
"989",2008,"US-NH-14","58-17"
"990",2009,"US-NH-14","58-17"
"991",2012,"US-NH-14","58-18"
"992",2002,"US-NH-14","58-18"
"993",2003,"US-NH-14","58-18"
"994",2004,"US-NH-14","58-18"
"995",2005,"US-NH-14","58-18"
"996",2006,"US-NH-14","58-18"
"997",2007,"US-NH-14","58-18"
"998",2008,"US-NH-14","58-18"
"999",2009,"US-NH-14","58-18"
"1000",2010,"US-NH-14","58-18"
"1001",2002,"US-NH-14","58-19"
"1002",2003,"US-NH-14","58-19"
"1003",2004,"US-NH-14","58-19"
"1004",2005,"US-NH-14","58-19"
"1005",2006,"US-NH-14","58-19"
"1006",2007,"US-NH-14","58-19"
"1007",2008,"US-NH-14","58-19"
"1008",2009,"US-NH-14","58-19"
"1009",2010,"US-NH-14","58-19"
"1010",2011,"US-NH-14","58-19"
"1011",2012,"US-NH-14","58-19"
"1012",2002,"US-NH-14","58-20"
"1013",2003,"US-NH-14","58-20"
"1014",2004,"US-NH-14","58-20"
"1015",2006,"US-NH-14","58-20"
"1016",2007,"US-NH-14","58-20"
"1017",2008,"US-NH-14","58-20"
"1018",2009,"US-NH-14","58-20"
"1019",2010,"US-NH-14","58-20"
"1020",2011,"US-NH-14","58-20"
"1021",2012,"US-NH-14","58-20"
"1022",2002,"US-NH-14","58-21"
"1023",2003,"US-NH-14","58-21"
"1024",2004,"US-NH-14","58-21"
"1025",2005,"US-NH-14","58-21"
"1026",2006,"US-NH-14","58-21"
"1027",2007,"US-NH-14","58-21"
"1028",2008,"US-NH-14","58-21"
"1029",2009,"US-NH-14","58-21"
"1030",2010,"US-NH-14","58-21"
"1031",2011,"US-NH-14","58-21"
"1032",2012,"US-NH-14","58-21"
"1033",2011,"US-NH-14","58-22"
"1034",2012,"US-NH-14","58-22"
"1035",2004,"US-NH-14","58-22"
"1036",2005,"US-NH-14","58-22"
"1037",2006,"US-NH-14","58-22"
"1038",2007,"US-NH-14","58-22"
"1039",2008,"US-NH-14","58-22"
"1040",2009,"US-NH-14","58-22"
"1041",2010,"US-NH-14","58-22"
"1042",2003,"US-NH-14","58-22"
"1043",2003,"US-NH-14","58-7"
"1044",2004,"US-NH-14","58-7"
"1045",2005,"US-NH-14","58-7"
"1046",2006,"US-NH-14","58-7"
"1047",2007,"US-NH-14","58-7"
"1048",2008,"US-NH-14","58-7"
"1049",2009,"US-NH-14","58-7"
"1050",2010,"US-NH-14","58-7"
"1051",2011,"US-NH-14","58-7"
"1052",2012,"US-NH-14","58-7"
"1053",2002,"US-NH-14","58-7"
"1054",2002,"US-NH-14","58-9"
"1055",2003,"US-NH-14","58-9"
"1056",2004,"US-NH-14","58-9"
"1057",2005,"US-NH-14","58-9"
"1058",2006,"US-NH-14","58-9"
"1059",2007,"US-NH-14","58-9"
"1060",2008,"US-NH-14","58-9"
"1061",2009,"US-NH-14","58-9"
"1062",2010,"US-NH-14","58-9"
"1063",2011,"US-NH-14","58-9"
"1064",2012,"US-NH-14","58-9"
"1065",2002,"US-NY-14","61-100"
"1066",2003,"US-NY-14","61-100"
"1067",2004,"US-NY-14","61-100"
"1068",2005,"US-NY-14","61-100"
"1069",2006,"US-NY-14","61-100"
"1070",2007,"US-NY-14","61-100"
"1071",2008,"US-NY-14","61-100"
"1072",2009,"US-NY-14","61-100"
"1073",2010,"US-NY-14","61-100"
"1074",2011,"US-NY-14","61-100"
"1075",2012,"US-NY-14","61-100"
"1076",2005,"US-NY-13","61-102"
"1077",2006,"US-NY-13","61-102"
"1078",2007,"US-NY-13","61-102"
"1079",2008,"US-NY-13","61-102"
"1080",2009,"US-NY-13","61-102"
"1081",2010,"US-NY-13","61-102"
"1082",2011,"US-NY-13","61-102"
"1083",2012,"US-NY-13","61-102"
"1084",2002,"US-NY-14","61-107"
"1085",2003,"US-NY-14","61-107"
"1086",2004,"US-NY-14","61-107"
"1087",2005,"US-NY-14","61-107"
"1088",2006,"US-NY-14","61-107"
"1089",2004,"US-NY-13","61-108"
"1090",2005,"US-NY-13","61-108"
"1091",2006,"US-NY-13","61-108"
"1092",2005,"US-NY-14","61-112"
"1093",2006,"US-NY-14","61-112"
"1094",2002,"US-NY-28","61-121"
"1095",2003,"US-NY-28","61-121"
"1096",2005,"US-NY-28","61-121"
"1097",2006,"US-NY-28","61-121"
"1098",2007,"US-NY-28","61-121"
"1099",2008,"US-NY-28","61-121"
"1100",2009,"US-NY-28","61-121"
"1101",2010,"US-NY-28","61-121"
"1102",2011,"US-NY-28","61-121"
"1103",2012,"US-NY-28","61-121"
"1104",2004,"US-NY-28","61-121"
"1105",2002,"US-NY-28","61-123"
"1106",2003,"US-NY-28","61-123"
"1107",2004,"US-NY-28","61-123"
"1108",2005,"US-NY-28","61-123"
"1109",2006,"US-NY-28","61-123"
"1110",2007,"US-NY-28","61-123"
"1111",2008,"US-NY-28","61-123"
"1112",2009,"US-NY-28","61-123"
"1113",2010,"US-NY-28","61-123"
"1114",2011,"US-NY-28","61-123"
"1115",2012,"US-NY-28","61-123"
"1116",2002,"US-NY-28","61-136"
"1117",2003,"US-NY-28","61-136"
"1118",2004,"US-NY-28","61-136"
"1119",2005,"US-NY-28","61-136"
"1120",2006,"US-NY-28","61-136"
"1121",2007,"US-NY-28","61-136"
"1122",2008,"US-NY-28","61-136"
"1123",2009,"US-NY-28","61-136"
"1124",2010,"US-NY-28","61-136"
"1125",2011,"US-NY-28","61-136"
"1126",2012,"US-NY-28","61-136"
"1127",2002,"US-NY-13","61-16"
"1128",2003,"US-NY-13","61-16"
"1129",2004,"US-NY-13","61-16"
"1130",2005,"US-NY-13","61-16"
"1131",2006,"US-NY-13","61-16"
"1132",2007,"US-NY-13","61-16"
"1133",2008,"US-NY-13","61-16"
"1134",2005,"US-NY-14","61-17"
"1135",2006,"US-NY-14","61-17"
"1136",2009,"US-NY-14","61-17"
"1137",2010,"US-NY-14","61-17"
"1138",2012,"US-NY-14","61-17"
"1139",2002,"US-NY-14","61-199"
"1140",2003,"US-NY-14","61-199"
"1141",2004,"US-NY-14","61-199"
"1142",2005,"US-NY-14","61-199"
"1143",2006,"US-NY-14","61-199"
"1144",2007,"US-NY-14","61-199"
"1145",2008,"US-NY-14","61-199"
"1146",2009,"US-NY-14","61-199"
"1147",2010,"US-NY-14","61-199"
"1148",2011,"US-NY-14","61-199"
"1149",2012,"US-NY-14","61-199"
"1150",2006,"US-NY-14","61-206"
"1151",2007,"US-NY-14","61-206"
"1152",2009,"US-NY-14","61-206"
"1153",2003,"US-NY-28","61-24"
"1154",2004,"US-NY-28","61-24"
"1155",2005,"US-NY-28","61-24"
"1156",2006,"US-NY-28","61-24"
"1157",2007,"US-NY-28","61-24"
"1158",2008,"US-NY-28","61-24"
"1159",2009,"US-NY-28","61-24"
"1160",2010,"US-NY-28","61-24"
"1161",2011,"US-NY-28","61-24"
"1162",2012,"US-NY-28","61-24"
"1163",2004,"US-NY-28","61-27"
"1164",2005,"US-NY-28","61-27"
"1165",2006,"US-NY-28","61-27"
"1166",2007,"US-NY-28","61-27"
"1167",2008,"US-NY-28","61-27"
"1168",2009,"US-NY-28","61-27"
"1169",2010,"US-NY-28","61-27"
"1170",2011,"US-NY-28","61-27"
"1171",2012,"US-NY-28","61-27"
"1172",2002,"US-NY-28","61-27"
"1173",2008,"US-NY-28","61-29"
"1174",2009,"US-NY-28","61-29"
"1175",2010,"US-NY-28","61-29"
"1176",2011,"US-NY-28","61-29"
"1177",2012,"US-NY-28","61-29"
"1178",2002,"US-NY-28","61-29"
"1179",2003,"US-NY-28","61-29"
"1180",2004,"US-NY-28","61-29"
"1181",2005,"US-NY-28","61-29"
"1182",2006,"US-NY-28","61-29"
"1183",2007,"US-NY-28","61-29"
"1184",2002,"US-NY-28","61-30"
"1185",2003,"US-NY-28","61-30"
"1186",2004,"US-NY-28","61-30"
"1187",2005,"US-NY-28","61-30"
"1188",2006,"US-NY-28","61-30"
"1189",2007,"US-NY-28","61-30"
"1190",2008,"US-NY-28","61-30"
"1191",2009,"US-NY-28","61-30"
"1192",2010,"US-NY-28","61-30"
"1193",2011,"US-NY-28","61-30"
"1194",2003,"US-NY-14","61-301"
"1195",2006,"US-NY-14","61-301"
"1196",2007,"US-NY-14","61-301"
"1197",2008,"US-NY-14","61-301"
"1198",2011,"US-NY-14","61-301"
"1199",2012,"US-NY-14","61-301"
"1200",2002,"US-NY-28","61-31"
"1201",2003,"US-NY-28","61-31"
"1202",2004,"US-NY-28","61-31"
"1203",2005,"US-NY-28","61-31"
"1204",2006,"US-NY-28","61-31"
"1205",2007,"US-NY-28","61-31"
"1206",2008,"US-NY-28","61-31"
"1207",2009,"US-NY-28","61-31"
"1208",2010,"US-NY-28","61-31"
"1209",2011,"US-NY-28","61-31"
"1210",2012,"US-NY-28","61-31"
"1211",2005,"US-NY-28","61-32"
"1212",2006,"US-NY-28","61-32"
"1213",2007,"US-NY-28","61-32"
"1214",2008,"US-NY-28","61-32"
"1215",2010,"US-NY-28","61-32"
"1216",2011,"US-NY-28","61-32"
"1217",2012,"US-NY-28","61-32"
"1218",2007,"US-NY-28","61-33"
"1219",2008,"US-NY-28","61-33"
"1220",2009,"US-NY-28","61-33"
"1221",2010,"US-NY-28","61-33"
"1222",2011,"US-NY-28","61-33"
"1223",2012,"US-NY-28","61-33"
"1224",2002,"US-NY-28","61-34"
"1225",2003,"US-NY-28","61-34"
"1226",2004,"US-NY-28","61-34"
"1227",2005,"US-NY-28","61-34"
"1228",2006,"US-NY-28","61-34"
"1229",2007,"US-NY-28","61-34"
"1230",2008,"US-NY-28","61-34"
"1231",2009,"US-NY-28","61-34"
"1232",2010,"US-NY-28","61-34"
"1233",2011,"US-NY-28","61-34"
"1234",2012,"US-NY-28","61-34"
"1235",2002,"US-NY-28","61-38"
"1236",2003,"US-NY-28","61-38"
"1237",2004,"US-NY-28","61-38"
"1238",2005,"US-NY-28","61-38"
"1239",2006,"US-NY-28","61-38"
"1240",2007,"US-NY-28","61-38"
"1241",2008,"US-NY-28","61-38"
